"Name","DisplayName","Events","Guid","FileName","MessageFile","SubstitutionFile","ResourceFile","Levels","Keywords","SendsTo"
"Microsoft-Windows-WMI","Microsoft-Windows-WMI","62","1edeee53-0afe-4609-b846-d8c0b2075b1f","WinMgmtR.dll","C:\Windows\system32\wbem\WinMgmtR.dll","","C:\Windows\system32\wbem\WinMgmtR.dll","Error, Warning, Information","Classic","Application"
"Microsoft-Windows-XAudio2","","18","1ee3abdb-c1fc-4b43-9e56-11064abba866","XAudio2_8.dll","C:\Windows\System32\XAudio2_8.dll","","C:\Windows\System32\XAudio2_8.dll","Critical, Error, Warning, Information, Verbose, Performance measurements","","Microsoft-Windows-XAudio2/Debug, Microsoft-Windows-XAudio2/Performance"
"Schannel","","29","1f678132-5938-4686-9fdc-c8ff68f15c85","lsasrv.dll","C:\Windows\System32\lsasrv.dll","","C:\Windows\System32\lsasrv.dll","Error, Warning, Information","","System"
"Microsoft-Windows-Shell-ZipFolder","Microsoft-Windows-Shell-ZipFolder","28","1f84007d-19ce-4b15-9e81-8a3dd8eb9ecb","zipfldr.dll","C:\Windows\system32\zipfldr.dll","","C:\Windows\system32\zipfldr.dll","Information","SQM","Microsoft-Windows-Shell-ZipFolder/Diagnostic"
"Microsoft-Windows-Wininit","Microsoft-Windows-Wininit","22","206f6dea-d3c5-4d10-bc72-989f03c8b84b","wininit.exe","C:\Windows\system32\wininit.exe","","C:\Windows\system32\wininit.exe","Warning, Information","PerfInstrumentation, PerfDiagnostics, Classic","Microsoft-Windows-Wininit/Diagnostic, System"
"Microsoft-Windows-RasClusterResource","","7","215609b4-72ab-4e0e-96f8-4c503fc4be3d","RasClusterRes.dll","C:\Windows\System32\RasClusterRes.dll","","C:\Windows\System32\RasClusterRes.dll","Log Always, Error","","Microsoft-Windows-RasClusterResource/Operational"
"Microsoft-Windows-WPD-MTPClassDriver","Microsoft-Windows-WPD-MTPClassDriver","77","21b7c16e-c5af-4a69-a74a-7245481c1b97","wpd_ci.dll","C:\Windows\System32\wpd_ci.dll","","C:\Windows\System32\wpd_ci.dll","Critical, Error, Warning, Information","","Microsoft-Windows-WPD-MTPClassDriver/Operational, Microsoft-Windows-WPD-MTPClassDriver/Analytic"
"Microsoft-Windows-WebdavClient-LookupServiceTrigger","","1","22b6d684-fa63-4578-87c9-effcbe6643c7","davclnt.dll","C:\Windows\system32\davclnt.dll","","C:\Windows\system32\davclnt.dll","","",""
"Microsoft-Windows-Kernel-Process","Microsoft-Windows-Kernel-Process","12","22fb2cd6-0e7b-422b-a0c7-2fad1fd0e716","Microsoft-Windows-System-Events.dll","C:\Windows\system32\Microsoft-Windows-System-Events.dll","","C:\Windows\system32\Microsoft-Windows-System-Events.dll","Information","WINEVENT_KEYWORD_PROCESS, WINEVENT_KEYWORD_THREAD, WINEVENT_KEYWORD_IMAGE, WINEVENT_KEYWORD_CPU_PRIORITY, WINEVENT_KEYWORD_OTHER_PRIORITY, WINEVENT_KEYWORD_PROCESS_FREEZE","Microsoft-Windows-Kernel-Process/Analytic"
"Microsoft-Windows-IIS-WMSVC","Microsoft-Windows-IIS-WMSVC","1","23108b68-1b7e-43fa-94fb-ec3066805744","iisres.dll","C:\Windows\system32\inetsrv\iisres.dll","","C:\Windows\system32\inetsrv\iisres.dll","","Classic","Application"
"Microsoft-Windows-WlanConn","Microsoft-Windows-WlanConn","22","239cfb83-cbb7-4bbc-a02e-9bdb496aa7c2","WlanConn.dll","C:\Windows\system32\WlanConn.dll","","C:\Windows\system32\WlanConn.dll","Information","WlanCfe-Performance, Response Time","Microsoft-Windows-WLANConnectionFlow/Diagnostic"
"Microsoft-Windows-UserAccountControl","Microsoft-Windows-UserAccountControl","1","2683b597-3cca-410a-97fe-6f7ee3d09b94","UserAccountControlSettings.dll","C:\Windows\system32\UserAccountControlSettings.dll","","C:\Windows\system32\UserAccountControlSettings.dll","Information","Response Time","Microsoft-Windows-UserAccountControl/Diagnostic"
"Microsoft-Windows-DxpTaskSyncProvider","","20","271c5228-c3fe-4e47-831f-48c3652ce5ac","DxpTaskSync.dll","C:\Windows\system32\DxpTaskSync.dll","","C:\Windows\system32\DxpTaskSync.dll","Information","Response Time","Microsoft-Windows-DxpTaskSyncProvider/Analytic"
"Microsoft-Windows-RPC-Proxy-LBS","Microsoft-Windows-RPC-Proxy-LBS","5","272a979b-34b5-48ec-94f5-7225a59c85a0","rpchttp.dll","C:\Windows\system32\rpchttp.dll","","C:\Windows\system32\rpchttp.dll","Error, Information","","Microsoft-Windows-RPC-Proxy/Debug"
"Microsoft-Windows-MSMQTriggers","Microsoft-Windows-MSMQTriggers","22","2787cc62-2654-4227-9b35-b53f838507ae","mqutil.dll","C:\Windows\system32\mqutil.dll","","C:\Windows\system32\mqutil.dll","","Classic","Application"
"Microsoft-Windows-TerminalServices-PnPDevices","Microsoft-Windows-TerminalServices-PnPDevices","14","27a8c1e2-eb19-463e-8424-b399df27a216","umrdp.dll","C:\Windows\system32\umrdp.dll","","C:\Windows\system32\umrdp.dll","Error, Warning, Information, Verbose","","Microsoft-Windows-TerminalServices-PnPDevices/Admin, Microsoft-Windows-TerminalServices-PnPDevices/Analytic, Microsoft-Windows-TerminalServices-PnPDevices/Operational, Microsoft-Windows-TerminalServices-PnPDevices/Debug"
